ioc_12_2,comment
halobaena caerulea,Blue Petrel
pachyptila vittata,Broad-billed Prion
pachyptila salvini,Salvin's Prion
pachyptila macgillivrayi,MacGillivray's Prion
pachyptila desolata,Antarctic Prion
pachyptila belcheri,Slender-billed Prion
pachyptila turtur,Fairy Prion
pachyptila crassirostris,Fulmar Prion
aphrodroma brevirostris,Kerguelen Petrel
pterodroma macroptera,Great-winged Petrel
pterodroma lessonii,White-headed Petrel
pterodroma gouldi,Grey-faced Petrel
pterodroma incerta,Atlantic Petrel
pterodroma solandri,Providence Petrel
pterodroma magentae,Magenta Petrel
pterodroma ultima,Murphy's Petrel
pterodroma mollis,Soft-plumaged Petrel
pterodroma madeira,Zino's Petrel
pterodroma feae,Fea's Petrel
pterodroma deserta,Desertas Petrel
pterodroma cahow,Bermuda Petrel
pterodroma hasitata,Black-capped Petrel
pterodroma caribbaea,Jamaican Petrel
pterodroma externa,Juan Fernandez Petrel
pterodroma occulta,Vanuatu Petrel
pterodroma neglecta,Kermadec Petrel
pterodroma heraldica,Herald Petrel
pterodroma arminjoniana,Trindade Petrel
pterodroma atrata,Henderson Petrel
pterodroma alba,Phoenix Petrel
pterodroma baraui,Barau's Petrel
pterodroma sandwichensis,Hawaiian Petrel
pterodroma phaeopygia,Galapagos Petrel
pterodroma inexpectata,Mottled Petrel
pterodroma cervicalis,White-necked Petrel
pterodroma nigripennis,Black-winged Petrel
pterodroma axillaris,Chatham Petrel
pterodroma hypoleuca,Bonin Petrel
pterodroma leucoptera,Gould's Petrel
pterodroma brevipes,Collared Petrel
pterodroma cookii,Cook's Petrel
pterodroma defilippiana,Masatierra Petrel
pterodroma longirostris,Stejneger's Petrel
pterodroma pycrofti,Pycroft's Petrel
pseudobulweria aterrima,Mascarene Petrel
pseudobulweria rupinarum,St. Helena Petrel
pseudobulweria rostrata,Tahiti Petrel
pseudobulweria becki,Beck's Petrel
pseudobulweria macgillivrayi,Fiji Petrel
procellaria cinerea,Grey Petrel
procellaria aequinoctialis,White-chinned Petrel
procellaria conspicillata,Spectacled Petrel
procellaria parkinsoni,Black Petrel
procellaria westlandica,Westland Petrel
calonectris leucomelas,Streaked Shearwater
calonectris diomedea,Scopoli's Shearwater
calonectris borealis,Cory's Shearwater
calonectris edwardsii,Cape Verde Shearwater
ardenna pacifica,Wedge-tailed Shearwater
ardenna bulleri,Buller's Shearwater
ardenna grisea,Sooty Shearwater
ardenna tenuirostris,Short-tailed Shearwater
ardenna creatopus,Pink-footed Shearwater
ardenna carneipes,Flesh-footed Shearwater
ardenna gravis,Great Shearwater
puffinus nativitatis,Christmas Shearwater
puffinus puffinus,Manx Shearwater
puffinus yelkouan,Yelkouan Shearwater
puffinus mauretanicus,Balearic Shearwater
puffinus bryani,Bryan's Shearwater
puffinus opisthomelas,Black-vented Shearwater
puffinus auricularis,Townsend's Shearwater
puffinus newelli,Newell's Shearwater
puffinus myrtae,Rapa Shearwater
puffinus gavia,Fluttering Shearwater
puffinus huttoni,Hutton's Shearwater
puffinus lherminieri,Audubon's Shearwater
puffinus persicus,Persian Shearwater
puffinus bailloni,Tropical Shearwater
puffinus subalaris,Galapagos Shearwater
puffinus bannermani,Bannerman's Shearwater
puffinus heinrothi,Heinroth's Shearwater
puffinus assimilis,Little Shearwater
puffinus elegans,Subantarctic Shearwater
puffinus baroli,Barolo Shearwater
puffinus boydi,Boyd's Shearwater
pelecanoides garnotii,Peruvian Diving Petrel
pelecanoides magellani,Magellanic Diving Petrel
pelecanoides georgicus,South Georgia Diving Petrel
pelecanoides urinatrix,Common Diving Petrel
bulweria bulwerii,Bulwer's Petrel
bulweria bifax,Olson's Petrel
bulweria fallax,Jouanin's Petrel
mycteria americana,Wood Stork
mycteria cinerea,Milky Stork
mycteria ibis,Yellow-billed Stork
mycteria leucocephala,Painted Stork
anastomus oscitans,Asian Openbill
anastomus lamelligerus,African Openbill
ciconia nigra,Black Stork
ciconia abdimii,Abdim's Stork
ciconia episcopus,Woolly-necked Stork
ciconia stormi,Storm's Stork
ciconia maguari,Maguari Stork
ciconia ciconia,White Stork
ciconia boyciana,Oriental Stork
ephippiorhynchus asiaticus,Black-necked Stork
ephippiorhynchus senegalensis,Saddle-billed Stork
jabiru mycteria,Jabiru
leptoptilos javanicus,Lesser Adjutant
leptoptilos dubius,Greater Adjutant
leptoptilos crumenifer,Marabou Stork
fregata aquila,Ascension Frigatebird
fregata andrewsi,Christmas Frigatebird
fregata magnificens,Magnificent Frigatebird
fregata minor,Great Frigatebird
fregata ariel,Lesser Frigatebird
morus bassanus,Northern Gannet
morus capensis,Cape Gannet
morus serrator,Australasian Gannet
papasula abbotti,Abbott's Booby
sula nebouxii,Blue-footed Booby
sula variegata,Peruvian Booby
sula dactylatra,Masked Booby
sula granti,Nazca Booby
sula sula,Red-footed Booby
sula leucogaster,Brown Booby
anhinga melanogaster,Oriental Darter
anhinga rufa,African Darter
anhinga novaehollandiae,Australasian Darter
anhinga anhinga,Anhinga
microcarbo pygmaeus,Pygmy Cormorant
microcarbo africanus,Reed Cormorant
microcarbo coronatus,Crowned Cormorant
microcarbo niger,Little Cormorant
microcarbo melanoleucos,Little Pied Cormorant
poikilocarbo gaimardi,Red-legged Cormorant
urile penicillatus,Brandt's Cormorant
urile urile,Red-faced Cormorant
urile pelagicus,Pelagic Cormorant
urile perspicillatus,Spectacled Cormorant
phalacrocorax neglectus,Bank Cormorant
phalacrocorax nigrogularis,Socotra Cormorant
phalacrocorax featherstoni,Pitt Shag
phalacrocorax punctatus,Spotted Shag
phalacrocorax fuscescens,Black-faced Cormorant
phalacrocorax varius,Australian Pied Cormorant
phalacrocorax sulcirostris,Little Black Cormorant
phalacrocorax fuscicollis,Indian Cormorant
phalacrocorax capensis,Cape Cormorant
phalacrocorax capillatus,Japanese Cormorant
phalacrocorax lucidus,White-breasted Cormorant
phalacrocorax carbo,Great Cormorant
gulosus aristotelis,European Shag
nannopterum harrisi,Flightless Cormorant
nannopterum brasilianum,Neotropic Cormorant
nannopterum auritum,Double-crested Cormorant
leucocarbo magellanicus,Rock Shag
leucocarbo bougainvillii,Guanay Cormorant
leucocarbo ranfurlyi,Bounty Shag
leucocarbo carunculatus,New Zealand King Shag
leucocarbo onslowi,Chatham Shag
leucocarbo chalconotus,Otago Shag
leucocarbo stewarti,Foveaux Shag
leucocarbo colensoi,Auckland Shag
leucocarbo campbelli,Campbell Shag
leucocarbo atriceps,Imperial Shag
leucocarbo georgianus,South Georgia Shag
leucocarbo melanogenis,Crozet Shag
leucocarbo bransfieldensis,Antarctic Shag
leucocarbo verrucosus,Kerguelen Shag
leucocarbo nivalis,Heard Island Shag
leucocarbo purpurascens,Macquarie Shag
threskiornis aethiopicus,African Sacred Ibis
threskiornis bernieri,Malagasy Sacred Ibis
threskiornis solitarius,Reunion Ibis
threskiornis melanocephalus,Black-headed Ibis
threskiornis molucca,Australian White Ibis
threskiornis spinicollis,Straw-necked Ibis
pseudibis papillosa,Red-naped Ibis
pseudibis davisoni,White-shouldered Ibis
pseudibis gigantea,Giant Ibis
geronticus eremita,Northern Bald Ibis
geronticus calvus,Southern Bald Ibis
nipponia nippon,Crested Ibis
bostrychia olivacea,Olive Ibis
bostrychia bocagei,Sao Tome Ibis
bostrychia rara,Spot-breasted Ibis
bostrychia hagedash,Hadada Ibis
bostrychia carunculata,Wattled Ibis
theristicus caerulescens,Plumbeous Ibis
theristicus caudatus,Buff-necked Ibis
theristicus melanopis,Black-faced Ibis
theristicus branickii,Andean Ibis
cercibis oxycerca,Sharp-tailed Ibis
mesembrinibis cayennensis,Green Ibis
phimosus infuscatus,Bare-faced Ibis
eudocimus albus,American White Ibis
eudocimus ruber,Scarlet Ibis
plegadis falcinellus,Glossy Ibis
plegadis chihi,White-faced Ibis
plegadis ridgwayi,Puna Ibis
lophotibis cristata,Madagascar Ibis
platalea leucorodia,Eurasian Spoonbill
platalea minor,Black-faced Spoonbill
platalea alba,African Spoonbill
platalea regia,Royal Spoonbill
platalea flavipes,Yellow-billed Spoonbill
platalea ajaja,Roseate Spoonbill
zonerodius heliosylus,Forest Bittern
tigriornis leucolopha,White-crested Tiger Heron
tigrisoma lineatum,Rufescent Tiger Heron
tigrisoma fasciatum,Fasciated Tiger Heron
tigrisoma mexicanum,Bare-throated Tiger Heron
agamia agami,Agami Heron
cochlearius cochlearius,Boat-billed Heron
zebrilus undulatus,Zigzag Heron
botaurus stellaris,Eurasian Bittern
botaurus poiciloptilus,Australasian Bittern
botaurus lentiginosus,American Bittern
botaurus pinnatus,Pinnated Bittern
ixobrychus involucris,Stripe-backed Bittern
ixobrychus exilis,Least Bittern
ixobrychus minutus,Little Bittern
ixobrychus dubius,Black-backed Bittern
ixobrychus novaezelandiae,New Zealand Bittern
ixobrychus sinensis,Yellow Bittern
ixobrychus eurhythmus,Von Schrenck's Bittern
ixobrychus cinnamomeus,Cinnamon Bittern
ixobrychus sturmii,Dwarf Bittern
ixobrychus flavicollis,Black Bittern
gorsachius magnificus,White-eared Night Heron
gorsachius goisagi,Japanese Night Heron
gorsachius melanolophus,Malayan Night Heron
gorsachius leuconotus,White-backed Night Heron
nycticorax nycticorax,Black-crowned Night Heron
nycticorax olsoni,Ascension Night Heron
nycticorax duboisi,Reunion Night Heron
nycticorax mauritianus,Mauritius Night Heron
nycticorax megacephalus,Rodrigues Night Heron
nycticorax caledonicus,Nankeen Night Heron
nyctanassa violacea,Yellow-crowned Night Heron
nyctanassa carcinocatactes,Bermuda Night Heron
butorides virescens,Green Heron
butorides sundevalli,Lava Heron
butorides striata,Striated Heron
ardeola ralloides,Squacco Heron
ardeola grayii,Indian Pond Heron
ardeola bacchus,Chinese Pond Heron
ardeola speciosa,Javan Pond Heron
ardeola idae,Malagasy Pond Heron
ardeola rufiventris,Rufous-bellied Heron
bubulcus ibis,Western Cattle Egret
bubulcus coromandus,Eastern Cattle Egret
ardea cinerea,Grey Heron
ardea herodias,Great Blue Heron
ardea cocoi,Cocoi Heron
ardea pacifica,White-necked Heron
ardea melanocephala,Black-headed Heron
ardea humbloti,Humblot's Heron
ardea insignis,White-bellied Heron
ardea sumatrana,Great-billed Heron
ardea goliath,Goliath Heron
ardea purpurea,Purple Heron
ardea alba,Great Egret
ardea intermedia,Intermediate Egret
pilherodius pileatus,Capped Heron
syrigma sibilatrix,Whistling Heron
egretta picata,Pied Heron
egretta novaehollandiae,White-faced Heron
egretta rufescens,Reddish Egret
egretta ardesiaca,Black Heron
egretta vinaceigula,Slaty Egret
egretta tricolor,Tricolored Heron
egretta caerulea,Little Blue Heron
egretta thula,Snowy Egret
egretta garzetta,Little Egret
egretta gularis,Western Reef Heron
egretta dimorpha,Dimorphic Egret
egretta sacra,Pacific Reef Heron
egretta eulophotes,Chinese Egret
scopus umbretta,Hamerkop
balaeniceps rex,Shoebill
pelecanus onocrotalus,Great White Pelican
pelecanus rufescens,Pink-backed Pelican
pelecanus philippensis,Spot-billed Pelican
pelecanus crispus,Dalmatian Pelican
pelecanus conspicillatus,Australian Pelican
pelecanus erythrorhynchos,American White Pelican
pelecanus occidentalis,Brown Pelican
pelecanus thagus,Peruvian Pelican
opisthocomus hoazin,Hoatzin
gymnogyps californianus,California Condor
sarcoramphus papa,King Vulture
vultur gryphus,Andean Condor
coragyps atratus,Black Vulture
cathartes aura,Turkey Vulture
cathartes burrovianus,Lesser Yellow-headed Vulture
cathartes melambrotus,Greater Yellow-headed Vulture
sagittarius serpentarius,Secretarybird
pandion haliaetus,Osprey
pandion cristatus,Eastern Osprey
elanus caeruleus,Black-winged Kite
elanus axillaris,Black-shouldered Kite
elanus leucurus,White-tailed Kite
elanus scriptus,Letter-winged Kite
gampsonyx swainsonii,Pearl Kite
chelictinia riocourii,Scissor-tailed Kite
polyboroides typus,African Harrier-Hawk
polyboroides radiatus,Madagascar Harrier-Hawk
gypohierax angolensis,Palm-nut Vulture
gypaetus barbatus,Bearded Vulture
neophron percnopterus,Egyptian Vulture
eutriorchis astur,Madagascar Serpent Eagle
leptodon cayanensis,Grey-headed Kite
leptodon forbesi,White-collared Kite
chondrohierax uncinatus,Hook-billed Kite
chondrohierax wilsonii,Cuban Kite
pernis apivorus,European Honey Buzzard
pernis ptilorhynchus,Crested Honey Buzzard
pernis celebensis,Barred Honey Buzzard
pernis steerei,Philippine Honey Buzzard
elanoides forficatus,Swallow-tailed Kite
lophoictinia isura,Square-tailed Kite
hamirostra melanosternon,Black-breasted Buzzard
aviceda cuculoides,African Cuckoo-Hawk
aviceda madagascariensis,Madagascar Cuckoo-Hawk
aviceda jerdoni,Jerdon's Baza
aviceda subcristata,Pacific Baza
aviceda leuphotes,Black Baza
henicopernis longicauda,Long-tailed Honey Buzzard
henicopernis infuscatus,Black Honey Buzzard
necrosyrtes monachus,Hooded Vulture
gyps africanus,White-backed Vulture
gyps bengalensis,White-rumped Vulture
gyps indicus,Indian Vulture
gyps tenuirostris,Slender-billed Vulture
gyps rueppelli,Rüppell's Vulture
gyps himalayensis,Himalayan Vulture
gyps fulvus,Griffon Vulture
gyps coprotheres,Cape Vulture
sarcogyps calvus,Red-headed Vulture
trigonoceps occipitalis,White-headed Vulture
aegypius monachus,Cinereous Vulture
torgos tracheliotos,Lappet-faced Vulture
spilornis cheela,Crested Serpent Eagle
spilornis klossi,Great Nicobar Serpent Eagle
spilornis kinabaluensis,Mountain Serpent Eagle
spilornis rufipectus,Sulawesi Serpent Eagle
spilornis holospilus,Philippine Serpent Eagle
spilornis elgini,Andaman Serpent Eagle
pithecophaga jefferyi,Philippine Eagle
circaetus gallicus,Short-toed Snake Eagle
circaetus beaudouini,Beaudouin's Snake Eagle
circaetus pectoralis,Black-chested Snake Eagle
circaetus cinereus,Brown Snake Eagle
circaetus fasciolatus,Southern Banded Snake Eagle
circaetus cinerascens,Western Banded Snake Eagle
dryotriorchis spectabilis,Congo Serpent Eagle
terathopius ecaudatus,Bateleur
macheiramphus alcinus,Bat Hawk
harpyopsis novaeguineae,Papuan Eagle
morphnus guianensis,Crested Eagle
harpia harpyja,Harpy Eagle
nisaetus cirrhatus,Changeable Hawk-Eagle
nisaetus floris,Flores Hawk-Eagle
nisaetus nipalensis,Mountain Hawk-Eagle
nisaetus kelaarti,Legge's Hawk-Eagle
nisaetus alboniger,Blyth's Hawk-Eagle
nisaetus bartelsi,Javan Hawk-Eagle
nisaetus lanceolatus,Sulawesi Hawk-Eagle
nisaetus philippensis,Philippine Hawk-Eagle
nisaetus pinskeri,Pinsker's Hawk-Eagle
nisaetus nanus,Wallace's Hawk-Eagle
spizaetus tyrannus,Black Hawk-Eagle
spizaetus melanoleucus,Black-and-white Hawk-Eagle
spizaetus ornatus,Ornate Hawk-Eagle
spizaetus isidori,Black-and-chestnut Eagle
stephanoaetus coronatus,Crowned Eagle
lophotriorchis kienerii,Rufous-bellied Eagle
polemaetus bellicosus,Martial Eagle
lophaetus occipitalis,Long-crested Eagle
ictinaetus malaiensis,Black Eagle
clanga pomarina,Lesser Spotted Eagle
clanga hastata,Indian Spotted Eagle
clanga clanga,Greater Spotted Eagle
hieraaetus wahlbergi,Wahlberg's Eagle
hieraaetus pennatus,Booted Eagle
hieraaetus morphnoides,Little Eagle
hieraaetus weiskei,Pygmy Eagle
hieraaetus ayresii,Ayres's Hawk-Eagle
aquila rapax,Tawny Eagle
aquila nipalensis,Steppe Eagle
aquila adalberti,Spanish Imperial Eagle
aquila heliaca,Eastern Imperial Eagle
aquila gurneyi,Gurney's Eagle
aquila chrysaetos,Golden Eagle
aquila audax,Wedge-tailed Eagle
aquila verreauxii,Verreaux's Eagle
aquila africana,Cassin's Hawk-Eagle
aquila fasciata,Bonelli's Eagle
aquila spilogaster,African Hawk-Eagle
harpagus bidentatus,Double-toothed Kite
harpagus diodon,Rufous-thighed Kite
kaupifalco monogrammicus,Lizard Buzzard
micronisus gabar,Gabar Goshawk
melierax metabates,Dark Chanting Goshawk
melierax poliopterus,Eastern Chanting Goshawk
melierax canorus,Pale Chanting Goshawk
urotriorchis macrourus,Long-tailed Hawk
erythrotriorchis buergersi,Chestnut-shouldered Goshawk
erythrotriorchis radiatus,Red Goshawk
megatriorchis doriae,Doria's Goshawk
microspizias superciliosus,Tiny Hawk
microspizias collaris,Semicollared Hawk
accipiter trivirgatus,Crested Goshawk
accipiter griseiceps,Sulawesi Goshawk
accipiter poliogaster,Grey-bellied Hawk
accipiter toussenelii,Red-chested Goshawk
accipiter tachiro,African Goshawk
accipiter castanilius,Chestnut-flanked Sparrowhawk
accipiter badius,Shikra
accipiter butleri,Nicobar Sparrowhawk
accipiter brevipes,Levant Sparrowhawk
accipiter soloensis,Chinese Sparrowhawk
accipiter francesiae,Frances's Sparrowhawk
accipiter trinotatus,Spot-tailed Sparrowhawk
accipiter novaehollandiae,Grey Goshawk
accipiter hiogaster,Variable Goshawk
accipiter fasciatus,Brown Goshawk
accipiter melanochlamys,Black-mantled Goshawk
accipiter albogularis,Pied Goshawk
accipiter haplochrous,White-bellied Goshawk
accipiter rufitorques,Fiji Goshawk
accipiter henicogrammus,Moluccan Goshawk
accipiter luteoschistaceus,Slaty-mantled Goshawk
accipiter imitator,Imitator Goshawk
accipiter poliocephalus,Grey-headed Goshawk
accipiter princeps,New Britain Goshawk
accipiter erythropus,Red-thighed Sparrowhawk
accipiter minullus,Little Sparrowhawk
accipiter gularis,Japanese Sparrowhawk
accipiter virgatus,Besra
accipiter nanus,Dwarf Sparrowhawk
accipiter erythrauchen,Rufous-necked Sparrowhawk
accipiter cirrocephalus,Collared Sparrowhawk
accipiter brachyurus,New Britain Sparrowhawk
accipiter rhodogaster,Vinous-breasted Sparrowhawk
accipiter madagascariensis,Madagascar Sparrowhawk
accipiter ovampensis,Ovambo Sparrowhawk
accipiter nisus,Eurasian Sparrowhawk
accipiter rufiventris,Rufous-breasted Sparrowhawk
accipiter striatus,Sharp-shinned Hawk
accipiter chionogaster,White-breasted Hawk
accipiter ventralis,Plain-breasted Hawk
accipiter erythronemius,Rufous-thighed Hawk
accipiter cooperii,Cooper's Hawk
accipiter gundlachi,Gundlach's Hawk
accipiter bicolor,Bicolored Hawk
accipiter chilensis,Chilean Hawk
accipiter melanoleucus,Black Sparrowhawk
accipiter henstii,Henst's Goshawk
accipiter gentilis,Northern Goshawk
accipiter meyerianus,Meyer's Goshawk
circus aeruginosus,Western Marsh Harrier
circus spilonotus,Eastern Marsh Harrier
circus spilothorax,Papuan Harrier
circus approximans,Swamp Harrier
circus ranivorus,African Marsh Harrier
circus maillardi,Reunion Harrier
circus macrosceles,Malagasy Harrier
circus buffoni,Long-winged Harrier
circus assimilis,Spotted Harrier
circus maurus,Black Harrier
circus cyaneus,Hen Harrier
circus hudsonius,Northern Harrier
circus cinereus,Cinereous Harrier
circus macrourus,Pallid Harrier
circus melanoleucos,Pied Harrier
circus pygargus,Montagu's Harrier
